academic_year,address,building_description,building_name,building_university_affiliated,building_url,city,contract__availability,contract__currency,contract__date_end,contract__date_start,contract__utilities_included,country,latitude,longitude,offers,operator,rent_pm,rent_pw,rent_total,room_amenities,room_name,room_type,tenancy_months,tenancy_type,tenancy_weeks
2023/2024,34 - 36 St Peters Street Aberdeen AB24 3HQ,"Our Landlord Registration Number is 1051301/100/03061Cosy private studios and buzzy shared spaces  less than a mile from Aberdeen University and Aberdeen College. St Peter Studios has it all.Theres 123 studio spaces going. All-inclusive. All purpose-built for the modern student lifestyle.And, each like a home in their own right  with kitchen, bathroom, flat screen TV and  double bed. Your own little haven.Youll be positivelysurrounded by shared facilities: a gym, lounge, TV room and private cinema. A whole community under one roof.All perfectly secure. An on-site manager, maintenance team, and round-the-clock CCTV all work together to make sure youre safe.There are no booking fees or deposits to pay! All utilities are rolled into the price of the rent which includes WIFI and free contents insurance!",St Peter Studios,n/a,https://www.hellostudent.co.uk/student-accommodation/aberdeen/st-peter-studios/,Aberdeen,sold out,GBP,16/08/24,28/10/23,n/a,United Kingdom,57.1573598,-2.1010798,n/a,Hello Student,923.0,213.0,8946.0,n/a,Classic Bigger Studio - Cityscape View,studio,9.7,shorter tenancy,42
2023/2024,"Foss Studios, 32 Lawrence Street, York. YO10 3DU","Foss Studios is mid-way between the city centre and the University of York, so youll be in a great spot to enjoy Yorks great shops, restaurants, bars and attractions  while also being just a short walk (or bus ride) from both universities. Its about a 16-minute walk to the University of York, and a few more to York St John Universityand if you dont feel like walking, theres a bus stop right outside.Whether you to choose to enjoy living all by yourself, or share with your plus one, theres a room to suit everyones budget. Set up home with your own double bed, roomy work station, high spec kitchen area and en-suite shower room.With no deposits or fees to pay, all bills are included in your rent  electricity, WIFI, water and free contents insurance. Its all taken care of.",Foss Studios,n/a,https://www.hellostudent.co.uk/student-accommodation/york/foss-studios/,York,sold out,GBP,30/08/24,28/10/23,n/a,United Kingdom,53.954581,-1.0713916,n/a,Hello Student,1217.67,281.0,12364.0,n/a,Classic Bigger Studio - Cityscape View,studio,10.2,shorter tenancy,44
2023/2024,"Centro Court, 85 Loch Street, Aberdeen AB25 1DH","Our Landlord Registration Number is 411613/100/27311These 56 studios have it all. Roomy kitchens. Ensuite showers. Big desks. Bigger double beds. Storage space in spades.Centro Court Studios. Its one of the best student homes in Aberdeen. Its ideally located between Aberdeen University, Robert Gordon University and Aberdeen College.Its student living at its finest. And theres a lounge for winding down, or for reading and studying for when you need to be a bit more studious.The locations so good youll want to stay here forever. Youll be just a short walk away from the city centre, with all its bars, clubs and seafront buzz.Tons to do. And heaps to see. Its the perfect place to start exploring.Whats more, because we like to keep things simple. We dont charge any booking fees or deposits! All utilities are rolled into the price of the rent which includes WIFI and free contents insurance !",Centro Court,n/a,https://www.hellostudent.co.uk/student-accommodation/aberdeen/centro-court/,Aberdeen,sold out,GBP,16/08/24,28/10/23,n/a,United Kingdom,57.1510976,-2.1015266,n/a,Hello Student,658.67,152.0,6384.0,n/a,Classic Studio,studio,9.7,shorter tenancy,42
2023/2024,"Centro Court, 85 Loch Street, Aberdeen AB25 1DH","Our Landlord Registration Number is 411613/100/27311These 56 studios have it all. Roomy kitchens. Ensuite showers. Big desks. Bigger double beds. Storage space in spades.Centro Court Studios. Its one of the best student homes in Aberdeen. Its ideally located between Aberdeen University, Robert Gordon University and Aberdeen College.Its student living at its finest. And theres a lounge for winding down, or for reading and studying for when you need to be a bit more studious.The locations so good youll want to stay here forever. Youll be just a short walk away from the city centre, with all its bars, clubs and seafront buzz.Tons to do. And heaps to see. Its the perfect place to start exploring.Whats more, because we like to keep things simple. We dont charge any booking fees or deposits! All utilities are rolled into the price of the rent which includes WIFI and free contents insurance !",Centro Court,n/a,https://www.hellostudent.co.uk/student-accommodation/aberdeen/centro-court/,Aberdeen,sold out,GBP,16/08/24,28/10/23,n/a,United Kingdom,57.1510976,-2.1015266,n/a,Hello Student,663.0,153.0,6426.0,n/a,Classic Bigger Studio,studio,9.7,shorter tenancy,42
2023/2024,"Centro Court, 85 Loch Street, Aberdeen AB25 1DH","Our Landlord Registration Number is 411613/100/27311These 56 studios have it all. Roomy kitchens. Ensuite showers. Big desks. Bigger double beds. Storage space in spades.Centro Court Studios. Its one of the best student homes in Aberdeen. Its ideally located between Aberdeen University, Robert Gordon University and Aberdeen College.Its student living at its finest. And theres a lounge for winding down, or for reading and studying for when you need to be a bit more studious.The locations so good youll want to stay here forever. Youll be just a short walk away from the city centre, with all its bars, clubs and seafront buzz.Tons to do. And heaps to see. Its the perfect place to start exploring.Whats more, because we like to keep things simple. We dont charge any booking fees or deposits! All utilities are rolled into the price of the rent which includes WIFI and free contents insurance !",Centro Court,n/a,https://www.hellostudent.co.uk/student-accommodation/aberdeen/centro-court/,Aberdeen,sold out,GBP,16/08/24,28/10/23,n/a,United Kingdom,57.1510976,-2.1015266,n/a,Hello Student,806.0,186.0,7812.0,n/a,Classic XL Studio,studio,9.7,shorter tenancy,42
2023/2024,"Ayton House, Abbey Walk, St Andrews, Fife KY16 9BF","Our Landlord Registration Number is : 477179/250/27071Ayton House is perfect for students at the University of St Andrews  which is just a short walk away. A little closer are local convenience stores, great independent cafes, and cute eateries.Complete with exceptional sea and beach views and a communal landscaped garden, Ayton House is less student apartment block, more modern stately home. For students.Theres a great choice of rooms to suit every budget. Stylish, self-contained studios. Two to five bedroom apartments.And, because we like to keep things simple, we dont charge fees or deposits. All the utilities are rolled into the price of the rent  water, electricity, contents insurance and WIFI .",Ayton House,n/a,https://www.hellostudent.co.uk/student-accommodation/st-andrews/ayton-house/,St Andrews,sold out,GBP,16/08/24,28/10/23,n/a,United Kingdom,56.3364936,-2.7875628,n/a,Hello Student,1031.33,238.0,9996.0,n/a,Classic 2 Bed Apartment - Shared Bathroom,non-ensuite,9.7,shorter tenancy,42
2023/2024,"Ayton House, Abbey Walk, St Andrews, Fife KY16 9BF","Our Landlord Registration Number is : 477179/250/27071Ayton House is perfect for students at the University of St Andrews  which is just a short walk away. A little closer are local convenience stores, great independent cafes, and cute eateries.Complete with exceptional sea and beach views and a communal landscaped garden, Ayton House is less student apartment block, more modern stately home. For students.Theres a great choice of rooms to suit every budget. Stylish, self-contained studios. Two to five bedroom apartments.And, because we like to keep things simple, we dont charge fees or deposits. All the utilities are rolled into the price of the rent  water, electricity, contents insurance and WIFI .",Ayton House,n/a,https://www.hellostudent.co.uk/student-accommodation/st-andrews/ayton-house/,St Andrews,sold out,GBP,16/08/24,28/10/23,n/a,United Kingdom,56.3364936,-2.7875628,n/a,Hello Student,1122.33,259.0,10878.0,n/a,Classic Shared Apartment,non-ensuite,9.7,shorter tenancy,42
2023/2024,"Ayton House, Abbey Walk, St Andrews, Fife KY16 9BF","Our Landlord Registration Number is : 477179/250/27071Ayton House is perfect for students at the University of St Andrews  which is just a short walk away. A little closer are local convenience stores, great independent cafes, and cute eateries.Complete with exceptional sea and beach views and a communal landscaped garden, Ayton House is less student apartment block, more modern stately home. For students.Theres a great choice of rooms to suit every budget. Stylish, self-contained studios. Two to five bedroom apartments.And, because we like to keep things simple, we dont charge fees or deposits. All the utilities are rolled into the price of the rent  water, electricity, contents insurance and WIFI .",Ayton House,n/a,https://www.hellostudent.co.uk/student-accommodation/st-andrews/ayton-house/,St Andrews,sold out,GBP,16/08/24,28/10/23,n/a,United Kingdom,56.3364936,-2.7875628,n/a,Hello Student,1135.33,262.0,11004.0,n/a,Classic Bigger 2 Bed Apartment,non-ensuite,9.7,shorter tenancy,42
2023/2024,"54 South Bridge, Edinburgh, EH1 1YS","Quiet, beautiful spaces designed with Postgrads in mind.South Bridge is split into 4 town houses with spacious, fully equipped studios. That means modern kitchens, ensuite bathrooms, space to study, laundry facilities in each room, and high (or sloped) ceilings.Our residents also have exclusive access to use the fully equipped gyms and cinema rooms in other Hello Student buildings throughout the city, just a few minutes walk away. And of course have quick access to our in-city maintenance and security teams.A peaceful oasis, youll find us in the bustling old town of Edinburgh, a stones throw away from great bars, cafes, and restaurants and were right across the street from the Old College and only a 2 minutes walk from the main University campus at Bristo Square.Some of our studios even have fantastic views over the city towards Arthurs Seat and the sea.And its easy to budget,rent comes inclusive of all bills, speedy WIFI and free contents insurance too!One last thing.. Youll need to send us proof of your Postgrad status in order to complete your booking. This helps us make sure that our Postgrad only properties stay that way. Please contact our site team for more information on your chosen room.",South Bridge,n/a,https://www.hellostudent.co.uk/student-accommodation/edinburgh/south-bridge/,Edinburgh,sold out,GBP,06/09/24,28/10/23,n/a,United Kingdom,55.947782,-3.1879131,n/a,Hello Student,1547.0,357.0,16065.0,n/a,Premium Smaller Studio,studio,10.4,shorter tenancy,45
2023/2024,"54 South Bridge, Edinburgh, EH1 1YS","Quiet, beautiful spaces designed with Postgrads in mind.South Bridge is split into 4 town houses with spacious, fully equipped studios. That means modern kitchens, ensuite bathrooms, space to study, laundry facilities in each room, and high (or sloped) ceilings.Our residents also have exclusive access to use the fully equipped gyms and cinema rooms in other Hello Student buildings throughout the city, just a few minutes walk away. And of course have quick access to our in-city maintenance and security teams.A peaceful oasis, youll find us in the bustling old town of Edinburgh, a stones throw away from great bars, cafes, and restaurants and were right across the street from the Old College and only a 2 minutes walk from the main University campus at Bristo Square.Some of our studios even have fantastic views over the city towards Arthurs Seat and the sea.And its easy to budget,rent comes inclusive of all bills, speedy WIFI and free contents insurance too!One last thing.. Youll need to send us proof of your Postgrad status in order to complete your booking. This helps us make sure that our Postgrad only properties stay that way. Please contact our site team for more information on your chosen room.",South Bridge,n/a,https://www.hellostudent.co.uk/student-accommodation/edinburgh/south-bridge/,Edinburgh,sold out,GBP,06/09/24,28/10/23,n/a,United Kingdom,55.947782,-3.1879131,n/a,Hello Student,1573.0,363.0,16335.0,n/a,Premium Loft Studio - Great view,studio,10.4,shorter tenancy,45
2023/2024,"54 South Bridge, Edinburgh, EH1 1YS","Quiet, beautiful spaces designed with Postgrads in mind.South Bridge is split into 4 town houses with spacious, fully equipped studios. That means modern kitchens, ensuite bathrooms, space to study, laundry facilities in each room, and high (or sloped) ceilings.Our residents also have exclusive access to use the fully equipped gyms and cinema rooms in other Hello Student buildings throughout the city, just a few minutes walk away. And of course have quick access to our in-city maintenance and security teams.A peaceful oasis, youll find us in the bustling old town of Edinburgh, a stones throw away from great bars, cafes, and restaurants and were right across the street from the Old College and only a 2 minutes walk from the main University campus at Bristo Square.Some of our studios even have fantastic views over the city towards Arthurs Seat and the sea.And its easy to budget,rent comes inclusive of all bills, speedy WIFI and free contents insurance too!One last thing.. Youll need to send us proof of your Postgrad status in order to complete your booking. This helps us make sure that our Postgrad only properties stay that way. Please contact our site team for more information on your chosen room.",South Bridge,n/a,https://www.hellostudent.co.uk/student-accommodation/edinburgh/south-bridge/,Edinburgh,sold out,GBP,06/09/24,28/10/23,n/a,United Kingdom,55.947782,-3.1879131,n/a,Hello Student,1573.0,363.0,16335.0,n/a,Premium Smaller Studio - Great view,studio,10.4,shorter tenancy,45
2023/2024,"Ayton House, Abbey Walk, St Andrews, Fife KY16 9BF","Our Landlord Registration Number is : 477179/250/27071Ayton House is perfect for students at the University of St Andrews  which is just a short walk away. A little closer are local convenience stores, great independent cafes, and cute eateries.Complete with exceptional sea and beach views and a communal landscaped garden, Ayton House is less student apartment block, more modern stately home. For students.Theres a great choice of rooms to suit every budget. Stylish, self-contained studios. Two to five bedroom apartments.And, because we like to keep things simple, we dont charge fees or deposits. All the utilities are rolled into the price of the rent  water, electricity, contents insurance and WIFI .",Ayton House,n/a,https://www.hellostudent.co.uk/student-accommodation/st-andrews/ayton-house/,St Andrews,sold out,GBP,16/08/24,28/10/23,n/a,United Kingdom,56.3364936,-2.7875628,n/a,Hello Student,1135.33,262.0,11004.0,n/a,Classic Bigger Shared Apartment,non-ensuite,9.7,shorter tenancy,42
2023/2024,"Ayton House, Abbey Walk, St Andrews, Fife KY16 9BF","Our Landlord Registration Number is : 477179/250/27071Ayton House is perfect for students at the University of St Andrews  which is just a short walk away. A little closer are local convenience stores, great independent cafes, and cute eateries.Complete with exceptional sea and beach views and a communal landscaped garden, Ayton House is less student apartment block, more modern stately home. For students.Theres a great choice of rooms to suit every budget. Stylish, self-contained studios. Two to five bedroom apartments.And, because we like to keep things simple, we dont charge fees or deposits. All the utilities are rolled into the price of the rent  water, electricity, contents insurance and WIFI .",Ayton House,n/a,https://www.hellostudent.co.uk/student-accommodation/st-andrews/ayton-house/,St Andrews,sold out,GBP,16/08/24,28/10/23,n/a,United Kingdom,56.3364936,-2.7875628,n/a,Hello Student,1135.33,262.0,11004.0,n/a,Classic Shared Apartment - Sea View,non-ensuite,9.7,shorter tenancy,42
2023/2024,"Ayton House, Abbey Walk, St Andrews, Fife KY16 9BF","Our Landlord Registration Number is : 477179/250/27071Ayton House is perfect for students at the University of St Andrews  which is just a short walk away. A little closer are local convenience stores, great independent cafes, and cute eateries.Complete with exceptional sea and beach views and a communal landscaped garden, Ayton House is less student apartment block, more modern stately home. For students.Theres a great choice of rooms to suit every budget. Stylish, self-contained studios. Two to five bedroom apartments.And, because we like to keep things simple, we dont charge fees or deposits. All the utilities are rolled into the price of the rent  water, electricity, contents insurance and WIFI .",Ayton House,n/a,https://www.hellostudent.co.uk/student-accommodation/st-andrews/ayton-house/,St Andrews,sold out,GBP,16/08/24,28/10/23,n/a,United Kingdom,56.3364936,-2.7875628,n/a,Hello Student,1139.67,263.0,11046.0,n/a,Classic 4 Bed Apartment,non-ensuite,9.7,shorter tenancy,42
2023/2024,"54 South Bridge, Edinburgh, EH1 1YS","Quiet, beautiful spaces designed with Postgrads in mind.South Bridge is split into 4 town houses with spacious, fully equipped studios. That means modern kitchens, ensuite bathrooms, space to study, laundry facilities in each room, and high (or sloped) ceilings.Our residents also have exclusive access to use the fully equipped gyms and cinema rooms in other Hello Student buildings throughout the city, just a few minutes walk away. And of course have quick access to our in-city maintenance and security teams.A peaceful oasis, youll find us in the bustling old town of Edinburgh, a stones throw away from great bars, cafes, and restaurants and were right across the street from the Old College and only a 2 minutes walk from the main University campus at Bristo Square.Some of our studios even have fantastic views over the city towards Arthurs Seat and the sea.And its easy to budget,rent comes inclusive of all bills, speedy WIFI and free contents insurance too!One last thing.. Youll need to send us proof of your Postgrad status in order to complete your booking. This helps us make sure that our Postgrad only properties stay that way. Please contact our site team for more information on your chosen room.",South Bridge,n/a,https://www.hellostudent.co.uk/student-accommodation/edinburgh/south-bridge/,Edinburgh,sold out,GBP,06/09/24,28/10/23,n/a,United Kingdom,55.947782,-3.1879131,n/a,Hello Student,1612.0,372.0,16740.0,n/a,Premium Bigger Loft Studio - Great view,studio,10.4,shorter tenancy,45
2023/2024,"54 South Bridge, Edinburgh, EH1 1YS","Quiet, beautiful spaces designed with Postgrads in mind.South Bridge is split into 4 town houses with spacious, fully equipped studios. That means modern kitchens, ensuite bathrooms, space to study, laundry facilities in each room, and high (or sloped) ceilings.Our residents also have exclusive access to use the fully equipped gyms and cinema rooms in other Hello Student buildings throughout the city, just a few minutes walk away. And of course have quick access to our in-city maintenance and security teams.A peaceful oasis, youll find us in the bustling old town of Edinburgh, a stones throw away from great bars, cafes, and restaurants and were right across the street from the Old College and only a 2 minutes walk from the main University campus at Bristo Square.Some of our studios even have fantastic views over the city towards Arthurs Seat and the sea.And its easy to budget,rent comes inclusive of all bills, speedy WIFI and free contents insurance too!One last thing.. Youll need to send us proof of your Postgrad status in order to complete your booking. This helps us make sure that our Postgrad only properties stay that way. Please contact our site team for more information on your chosen room.",South Bridge,n/a,https://www.hellostudent.co.uk/student-accommodation/edinburgh/south-bridge/,Edinburgh,sold out,GBP,06/09/24,28/10/23,n/a,United Kingdom,55.947782,-3.1879131,n/a,Hello Student,1638.0,378.0,17010.0,n/a,Premium Studio,studio,10.4,shorter tenancy,45
