address,city,country,description,facilities,latitude,longitude,name,operator,university_affiliated,url
"William and Matthew House, 32 - 34 Colston Street, Bristol BS1 5AE",Bristol,United Kingdom,"Ideally located for students of the University of Bristol, William and Matthew House is close to the main campus and to transport links around the city. Plus, the city centres world-class shopping centres, luxurious boutiques, independent cafes, bars, nightclubs, and restaurants are all close by.Choose from a range of studios and two or three bedroom apartments. Furnished to the highest standard, as standard. Plus, theres a load of great shared facilities. Stay in shape at the gym. And stay relaxed, scared, laughing (depending on the film) at the cinema. Ultra-modern apartments in a historic city. William and Matthew House offers exceptional accommodation, beyond anything youd expect.Whats more each room comes with free wifi and free contents insurance! Plus all the utilities are rolled into the rent and theres no booking fee to pay  so theres no need to worry about budgeting. Its all taken care of.",n/a,51.455488,-2.5996406,William & Matthew House,Hello Student,n/a,https://www.hellostudent.co.uk/student-accommodation/bristol/william-matthew-house/
"Samuel Tuke Apartments, 37 Lawrence Street, York. YO10 3FU",York,United Kingdom,"Perfect for students studying at the University of York and St Johns University  conveniently located between the two and close to both campuses.For fitness buffs, theres an on-site gym. For film buffs, a cinema. For readers, a reading room. And for everyone (we hope) a laundry room.We dont ask for any deposits or fees and all utilities are included in your rent  water, electricity, heating, WIFI and free contents insurance. Budgeting made simple!Whatever your campus, this property is great for you, with excellent transport links in and around the historic ancient city of York.",n/a,53.9547644,-1.0702212,Samuel Tuke Apartments,Hello Student,n/a,https://www.hellostudent.co.uk/student-accommodation/york/samuel-tuke-apartments/
"Saxon Court, St Giles House, 10 Church Street, Reading RG1 2SQ",Reading,United Kingdom,"Saxon Court is just a mile from the University of Reading and Reading College, just over that to Henley Business School and only half a mile to the Berkshire Institute of Health.A 3 minute walk will get you to Readings nightlife, the Oracle shopping centre and riversides cafes, bars restaurants and cinema so youll never be short of something to do. And when you want to get away from it all there are plenty of meadows and recreation grounds to discover.All this and great transport links with just a 14 minute walk to Reading train station. Perfect for those who want to explore the UK. Cosy private rooms and buzzy shared spaces  just a mile from the university. Saxon Court has got it all.Theres an on-site gym for working out, a cinema to catch a film, a cosy common room for a coffee and catch up and study areas forwell studying. Whats more each room comes with free wifi and free contents insurance too!",n/a,51.4515445,-0.971731,Saxon Court,Hello Student,n/a,https://www.hellostudent.co.uk/student-accommodation/reading/saxon-court/
"333 Bath Street, Glasgow G2 4ER",Glasgow,United Kingdom,"Our Landlord Registration Number is : 450327/260/20431Then theres the shared facilities. A gym for working out. A lounge for winding down. An on-site cinema, a games area. A room built for dinner parties. Yes a room built for dinner parties. Its student living at its finest. And theres reading rooms and study spaces, for when you need to be a bit more studious.A city so alive with activity 333 Bath Street is in the centre of it all. Glasgow University, Strathclyde and Caledonian university.
Whats more each room comes with free wifi and free contents insurance. Plus all the utilities are rolled into the rent and theres no booking fee to pay  so theres no need to worry about budgeting. Its all taken care of.",n/a,55.8650852,-4.271424,Bath Street,Hello Student,n/a,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/333-bath-street/
"Willowbank, 2A Willowbank Crescent, Glasgow, G3 6NB",Glasgow,United Kingdom,"Our Landlord Registration Number is : 1046789/260/23051A beautiful building. A well-connected location. A thriving community. What more do you need?Functional, modern living meets turn-of-the-century heritage at Willowbank. Its stylish accommodation in an enviable location.Glasgow University is only about half a mile away. Youll find Willowbank on a vibrant road full of shops and loads of other amenities.Theres an apartment for everyone. Studios, or two to five bedroom apartments.Whats more each room comes with free wifi and free contents insurance. Plus all the utilities are rolled into the rent and theres no booking fee to pay  so theres no need to worry about budgeting. Its all taken care of.",n/a,55.871239,-4.2775018,Willowbank,Hello Student,n/a,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/willowbank/
"Oldgate House, Huddersfield, W.Yorks HD1 6QF",Huddersfield,United Kingdom,"Really modern accommodation in a really central location: just 500 metres from the city centre. 500 metres! Its ideal student living. Students agree too, Oldgate House is currently joint 2nd on Student Crowd! Our value for money, location, social experience and more are loved by our student residents. In a prime location, too. Just a five-minute walk to the University of Huddersfield, so you can roll out of bed and straight into lectures. And once those deadlines are behind you, the citys vibrant social scene is just around the corner.Not that you need to go outside to let off steam. Bright, open community areas create a sense of whats the word? Ah, community. Theres a cinema for movie buffs. A gym for getting buff. And lounge for well, doing not very much at all.Plus, we wont ask you for deposits or fees and all utilities are rolled in with the rent  heating, electricity, water, WIFI and free contents insurance too!",n/a,53.6467453,-1.7813077,Oldgate House,Hello Student,n/a,https://www.hellostudent.co.uk/student-accommodation/huddersfield/oldgate-house/
"Metrovick House, Northumberland Road, Newcastle upon Tyne NE1 8JF",Newcastle,United Kingdom,"Metrovick House is perfect for students studying at Newcastle University and the University of Northumbria. Its close to both campuses, and to the citys main transport links.An iconic building on the corner where two of Newcastles most vibrant streets  John Dobson Street and Ridley Place meet. Youll be right in the thick of the city. Less than a five minute walk, youll find the shops and bustling nightlife of Eldon Square and Northumberland Street. So when you want a break from studying, you can go let your hair down a little.For fitness buffs, there is access to a state-of-the-art gym. For film buffs, a big screen TV lounge. For readers, a reading room. And for everyone (we hope) a laundry room.And because we like to keep things simple, we dont charge any deposits or fees. All your utilities are included in the price of the rent  electricity, water, WiFi and free contents insurance too!",n/a,54.977152,-1.6135267,Metrovick House,Hello Student,n/a,https://www.hellostudent.co.uk/student-accommodation/newcastle/metrovick-house/
"Hello Student St Marys, Upper Byron Place, Bristol BS8 1JU",Bristol,United Kingdom,"Brand new for 2022!A beautiful building. A well-connected location. A thriving community. What more do you need?Functional, modern living meets turn-of-the-century heritage at St Marys. Its stylish accommodation in an enviable location. Right in the heart of the city, just a few mins walk to the University of BristolA historic facade meets contemporary interiors. The perfect marriage of beautiful renovations and brand new buildings; St Marys has it all. A mix of fantastic studios, 1 & 2 bed apartments and townhouses set amidst beautifully landscaped courtyards and amazing views across Bristol. All rooms are built to the highest specification , as standard, and are available in a number of styles to suit all tastes. Plus theres shared spaces where residents can come together. An on-site gym for working out, an entertainment room to catch a film, a common room for that boxset binge- complete with itss own fully fitted kitchen for private dining. And it all comes with 24 hour service with a smile! Whats more youre literally slap bang in the centre of the Clifton Triangle, where youll find everything you need  todays fashion, amazing restaurants for dinners and numerous cafes to grab a morning coffee. And if open space is your thing, then youll be on the doorstep of Brandon Hill Nature Reserve and can spend you free time at one with nature.And, because we like to keep things simple, all utilities are rolled into the price of the rent which includes WiFi and free contents insurance. And if thats not enough, there are no booking fees or deposits to pay!* Images used are illustrative but are representative of the rooms were creatingBrand new for 2022!A beautiful building. A well-connected location. A thriving community. What more do you need?Functional, modern living meets turn-of-the-century heritage at St Marys. Its stylish accommodation in an enviable location. Right in the heart of the city, just a few mins walk to the University of BristolA historic facade meets contemporary interiors. The perfect marriage of beautiful renovations and brand new buildings; St Marys has it all. A mix of fantastic studios, 1 & 2 bed apartments and townhouses set amidst beautifully landscaped courtyards and amazing views across Bristol. All rooms are built to the highest specification , as standard, and are available in a number of styles to suit all tastes. Plus theres shared spaces where residents can come together. An on-site gym for working out, an entertainment room to catch a film, a common room for that boxset binge- complete with itss own fully fitted kitchen for private dining. And it all comes with 24 hour service with a smile! Whats more youre literally slap bang in the centre of the Clifton Triangle, where youll find everything you need  todays fashion, amazing restaurants for dinners and numerous cafes to grab a morning coffee. And if open space is your thing, then youll be on the doorstep of Brandon Hill Nature Reserve and can spend you free time at one with nature.And, because we like to keep things simple, all utilities are rolled into the price of the rent which includes WiFi and free contents insurance. And if thats not enough, there are no booking fees or deposits to pay!* Images used are illustrative but are representative of the rooms were creating",n/a,51.4555454,-2.6092628,St Marys,Hello Student,n/a,https://www.hellostudent.co.uk/student-accommodation/bristol/st-marys/
"Claremont Road, Newcastle upon Tyne NE2 4AA",Newcastle,United Kingdom,"Perfectly located for students of the University of Newcastle. In fact, its on campus. Roll out of bed, walk out your door and youre almost in class If youre studying at Northumbria University youre just a shortwalk away too. Even better the city centre is only a short walk down Lovers Lane, so shops, pubs and restaurants are right around the corner. If you want to shop, hop on the metro and youll be at the intu Metrocentre in just ten minutes. One of the largest shopping centres in EuropeClaremont Place is a fantastic mix of past and present. Beautiful, historic Grade II listed buildings, on the University of Newcastles campus, with uber modern interiors. If you like to keep fit, get your sweat on in the fully kitted-out gym. Or cosy up with a film in the on-site cinema.Whats more each room comes with free WiFi and free contents insurance. Plus all the utilities are rolled into the rent and theres no booking fees to pay  so theres no need to worry about budgeting. its all taken care of.",n/a,54.9823201,-1.6213335,Claremont Place,Hello Student,n/a,https://www.hellostudent.co.uk/student-accommodation/newcastle/claremont-place/
Ballet School 261 West Princes Street Glasgow G4 9EA,Glasgow,United Kingdom,"Our Landlord Registration Number is : 1046789/260/23051Located In the heart of Glasgows West End, were just a few minutes walk from the University of Glasgow and a short hop from the from the citys best cafes, restaurants and nightlife.Theres plenty of shared spaces where friends come together and a private courtyard thats always tranquil. Catch a film in cinema, work up a sweat in the gym or give your brain a work out in the study room. That mix of calm and action is what sets the Ballet School apart.With no booking fee to pay, each room comes with free wifi and free contents insurance. Plus all the utilities are rolled into the rent  so theres no need to worry about budgeting. Its all taken care of.",n/a,55.871663,-4.2768787,The Ballet School,Hello Student,n/a,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/the-glasgow-ballet-school/
"43 College Green, Bristol BS1 5SH",Bristol,United Kingdom,"Its set opposite one of Bristols most idyllic, popular greens. So we had to call it College Green. Its a short walk to the University of Bristol, and a short bus ride to Bristol UWE. So theres no excuses for missing those early lectures. Around College Green theres loads of shops, independent cafes, and rather cute restaurants. And youll be just a stones throw away from the bright lights of the city centre and its wealth of distractions.This property offers the best of the city. A great design. Great location. Great everything, really. All with everything youd expect, and more. Theres an on-site cinema for lazy evenings in, and a gym for blowing off a little steam between studies. Plus plenty of study rooms.Whats more each room comes with free wifi and free contents insurance. Plus all the utilities are rolled into the rent and theres no booking fee to pay  so theres no need to worry about budgeting. Its all taken care of.",n/a,51.452429,-2.6007127,College Green,Hello Student,n/a,https://www.hellostudent.co.uk/student-accommodation/bristol/college-green/
"Europa House, Havant Street, Portsmouth PO1 3ER",Portsmouth,United Kingdom,"Towering above Portsmouth Harbour, Europa House is just a 15 minute walk to the University of Portsmouth and youre just 4 minutes walk away from the infamous Gunwharf Quays where youll find everything you need,  todays fashion, amazing restaurants for dinners and numerous cafes to grab a morning coffee. And with Portsmouth Harbour train station right nearby the south coast is always on your doorstep.Private and shared studio spaces combine prime location with a premium feel. Then theres the shared facilities. A gym for working out. A lounge for winding down. An on-site cinema, a games room. Its student living at its finest. And theres reading rooms and study spaces, for when you need to be a bit more studious.Whats more each room comes with free wifi and free contents insurance. Plus all the utilities are rolled into the rent and theres no booking fee to pay  so theres no need to worry about budgeting. Its all taken care of.",n/a,50.7987394,-1.107999,Europa House,Hello Student,n/a,https://www.hellostudent.co.uk/student-accommodation/portsmouth/europa-house/
"151 George Street, Glasgow G1 1AB",Glasgow,United Kingdom,"Our Landlord Registration number is: 1046787/260/23051George Street Apartments is set in the heart of the city, just roll out of bed and youre on campus . Were slap bang on the doorstep of University of Strathclyde, a 5 minute walk to Glasgow Caledonian, Glasgow School of Art, City of Glasgow Collegeand a short subway journey to the University of Glasgow. Just a one minute walk will get you to Glasgows famous George Square  in the thick of the city  shops, bars, restaurants and cafes. Music, art and history. Its all close by.George Street Apartments has it all, the 89 individual stylish studios combine modern and cosy. The perfect retreat. All with ensuite bathrooms and your own private kitchen. Shared spaces where residents come together. An on-site gym for working out, cinema to catch a film, and TV room for that boxset binge.And, because we like to keep things simple, all utilities are rolled into the price of the rent which includes WiFi and free contents insurance . And if thats not enough, there are no booking fees to pay!",n/a,55.8590022,-4.2608794,George Street Apartments,Hello Student,n/a,https://www.hellostudent.co.uk/student-accommodation/glasgow-city/george-street-apartments/
"91 Buccleuch Street, Edinburgh EH8 9NS",Edinburgh,United Kingdom,"Our Landlord Registration Number is: 1053192/230/05061Youll find Buccleuch Street in one of the citys most enviable places. Its near basically all the citys higher education institutes. Its near the Old Town, and the citys famed nightlife.Whether you live to eat, to shop, to entertain  or to be entertained  therell be something here for you. Theres a tremendous range of restaurants and cafes, retail outlets, comedy clubs, theatres, and art galleries  all pretty much on your doorstep.University of Edinburgh central campus is a 5 minute walk and Kings building is only a short bus ride awayThe grand, historic past of Edinburgh meets the buzz of contemporary life  in apartments that are beautifully designed, and constructed to perform.And after a day buried in the books, just head to the on-site gym, cinema or games room to unwind a little.Whats more each room comes with free wifi and free contents insurance. Plus all the utilities are rolled into the rent and theres no booking fee to pay  so theres no need to worry about budgeting. Its all taken care of.",n/a,55.9422538,-3.1861289,Buccleuch Street,Hello Student,n/a,https://www.hellostudent.co.uk/student-accommodation/edinburgh/buccleuch-street/
"27 King's Stables Road, Edinburgh, EH1 2JY",Edinburgh,United Kingdom,"Our Landlord Registration Number is : 1053197/230/05061Perfect for students studying at the University of Edinburgh and within walking distance of the popular Grassmarket area of the city. Kings Stables is ideally located opposite the iconic Edinburgh Castle, more than half the rooms will benefit from views of this world heritage site.All studios come fully equipped with the latest kitchen tech, spacious ensuite bathrooms, and luxurious beds.For fitness buffs theres an onsite gym. For film buffs, a cinema. For readers, a reading room. And for everyone (..we hope) a laundry room.We dont ask for any deposits or fees and all utilities are included in your rent  water, electricity, heating, WIFI and free contents insurance. Budgeting made simple!",n/a,55.9472038,-3.20031,Kings Stables Road,Hello Student,n/a,https://www.hellostudent.co.uk/student-accommodation/edinburgh/kings-stables/
"Kingsmill Studios, Kingsmill Lane, Huddersfield HD1 3AW",Huddersfield,United Kingdom,"Right in the heart of Huddersfield city centre and on the doorstep of University of Huddersfield, it is truly in an enviable location.Theres shared spaces, too. A gym. A cinema.Brilliant, stylish facilities and river views that would be more at home in a boutique hotel than a student residence.Its perfect. But dont take our word for it, Kingsmill Studios are currently joint 2nd on Student Crowd! Our value for money, location, social experience and more are loved by our student residents. We dont ask for deposits or fees and all your utilities are included in the rent  water, electricity, WIFI, and free contents insurance.Double perfect.",n/a,53.6411757,-1.7788005,Kingsmill Studios,Hello Student,n/a,https://www.hellostudent.co.uk/student-accommodation/huddersfield/kingsmill-studios/
